Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever
19.994,8,0.985576303,2.233478189,55.8726%,1.24790,0.985576303,2.233478189
29.529,9,0.983911523,2.233478189,55.9471%,1.24957,0.985576303,2.233478189
41.612,10,0.985861513,2.233478189,55.8598%,1.24762,0.985861513,2.233478189
51.767,11,0.984704567,2.233478189,55.9116%,1.24877,0.985861513,2.233478189
58.215,12,0.984969570,1.887693973,47.8215%,0.90272,0.985861513,1.887693973
67.383,13,0.985194510,1.887693973,47.8096%,0.90250,0.985861513,1.887693973
83.370,14,0.985804870,1.887693973,47.7773%,0.90189,0.985861513,1.887693973
92.923,15,0.985962996,1.887693973,47.7689%,0.90173,0.985962996,1.887693973
98.881,16,0.986152322,1.887693973,47.7589%,0.90154,0.986152322,1.887693973
106.774,17,0.985297940,1.796214983,45.1459%,0.81092,0.986152322,1.796214983
126.404,18,0.985715169,1.796214983,45.1227%,0.81050,0.986152322,1.796214983
145.159,19,0.986219517,1.085905216,9.1800%,0.09969,0.986219517,1.085905216
164.573,20,0.986278370,1.085905216,9.1745%,0.09963,0.986278370,1.085905216
174.808,21,0.986274172,1.085905216,9.1749%,0.09963,0.986278370,1.085905216
184.326,22,0.986258931,1.059008455,6.8696%,0.07275,0.986278370,1.059008455
194.291,23,0.984164520,0.998123576,1.3985%,0.01396,0.986278370,0.998123576
207.336,24,0.984158425,0.998123576,1.3991%,0.01397,0.986278370,0.998123576
210.797,25,0.984162497,0.998123576,1.3987%,0.01396,0.986278370,0.998123576
215.384,26,0.984162236,0.998123576,1.3988%,0.01396,0.986278370,0.998123576
220.143,27,0.984148170,0.998123576,1.4002%,0.01398,0.986278370,0.998123576
225.223,28,0.986065622,0.998123576,1.2081%,0.01206,0.986278370,0.998123576
232.143,29,0.984198679,0.998123576,1.3951%,0.01392,0.986278370,0.998123576
240.871,30,0.984359338,0.998123576,1.3790%,0.01376,0.986278370,0.998123576
250.208,31,0.984178073,0.998123576,1.3972%,0.01395,0.986278370,0.998123576
258.668,32,0.984192502,0.993308827,0.9178%,0.00912,0.986278370,0.993308827
264.792,33,0.984191006,0.988826356,0.4688%,0.00464,0.986278370,0.988826356
270.637,34,0.984187741,0.985256360,0.1085%,0.00107,0.986278370,0.985256360
276.908,35,0.984189186,0.985256360,0.1083%,0.00107,0.986278370,0.985256360
280.818,36,0.984605783,0.985256360,0.0660%,0.00065,0.986278370,0.985256360
282.033,37,0.984176752,0.985256360,0.1096%,0.00108,0.986278370,0.985256360
290.145,38,0.984191343,0.985256360,0.1081%,0.00107,0.986278370,0.985256360
296.554,39,0.984192552,0.985256360,0.1080%,0.00106,0.986278370,0.985256360
